Omar Bolden,Bears,2016,1,"$840,000","$840,000"
Daryl Worley,CAR/PHI,2016,4,"$3,237,896","$809,474"
Jimmy Wilson,Chiefs,2016,1,"$800,000","$800,000"
Kendall Fuller,KC/WAS,2016,4,"$3,123,424","$780,856"
Brandon Williams,Cardinals,2016,4,"$3,082,696","$770,674"
Asa Jackson,BAL/ARI/DET,2016,1,"$760,000","$760,000"
Chykie Brown,Bengals,2016,1,"$760,000","$760,000"
Javier Arenas,Bills,2016,1,"$760,000","$760,000"
Brandon Harris,Dolphins,2016,1,"$760,000","$760,000"
Chykie Brown,Bengals,2016,1,"$760,000","$760,000"
Josh Thomas,Cowboys,2016,1,"$760,000","$760,000"
Jimmy Wilson,Bengals,2016,1,"$760,000","$760,000"
Brandon Boykin,Bears,2016,1,"$760,000","$760,000"
Crezdon Butler,Lions,2016,1,"$760,000","$760,000"
Chimdi Chekwa,Dolphins,2016,1,"$760,000","$760,000"
Brandon Browner,Seahawks,2016,1,"$760,000","$760,000"
Cary Williams,Commanders,2016,1,"$745,000","$745,000"
Brandon McGee,Cowboys,2016,2,"$1,477,812","$738,906"
Tavon Young,Ravens,2016,4,"$2,945,128","$736,282"
Ryan Smith,Buccaneers,2016,4,"$2,932,160","$733,040"
Dwayne Gratz,Eagles,2016,2,"$1,450,000","$725,000"
Rashaan Melvin,Colts,2016,2,"$1,450,000","$725,000"
Darryl Morris,Colts,2016,2,"$1,450,000","$725,000"
Leon McFadden,NYG/DAL,2016,2,"$1,450,000","$725,000"
Juston Burris,Jets,2016,4,"$2,891,132","$722,783"
Shaun Prater,Cardinals,2016,1,"$700,000","$700,000"
Ras-I Dowling,Panthers,2016,1,"$678,000","$678,000"
DeMarcus Van Dyke,Falcons,2016,1,"$675,000","$675,000"
Rashaan Melvin,MIA/NE,2016,1,"$675,000","$675,000"
Brandian Ross,Broncos,2016,1,"$675,000","$675,000"
Blidi Wreh-Wilson,Falcons,2016,1,"$675,000","$675,000"
Donald Washington,Steelers,2016,1,"$675,000","$675,000"
Brandon McGee,Lions,2016,1,"$675,000","$675,000"
Blidi Wreh-Wilson,Falcons,2016,1,"$675,000","$675,000"
B.W. Webb,Saints,2016,1,"$675,000","$675,000"
Terrance Mitchell,Chiefs,2016,2,"$1,290,000","$645,000"
Robert Nelson,Texans,2016,2,"$1,290,000","$645,000"
Marcus Roberson,Texans,2016,2,"$1,290,000","$645,000"
Charles James,Bills,2016,2,"$1,290,000","$645,000"
Brittan Golden,Cardinals,2016,2,"$1,290,000","$645,000"
Isaiah Frey,Cowboys,2016,2,"$1,290,000","$645,000"
Terrance Mitchell,Chiefs,2016,2,"$1,290,000","$645,000"
Charles James,Jaguars,2016,2,"$1,290,000","$645,000"
LeShaun Sims,Titans,2016,4,"$2,578,184","$644,546"
D.J. White,IND/KC,2016,4,"$2,524,012","$631,003"
Anthony Brown,Cowboys,2016,4,"$2,474,948","$618,737"
