player,team,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,old_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Fabian Moreau,Vikings,Average outside CB,False,2023,62.4,62.9,87.3,1.1,0.1052631578947368,0.8660351826792964,0.0446549391069012,396000.0,0.950583093179635,1385316.0270880363,2863156.2766570607,8255285.826155052,133,True,3.950338600451467,7251404.297314983,11898419.864559818,16590826.682343334,51,True,2.999755507271832
Starling Thomas V,DET/ARI,Average outside CB,False,2024,60.9,60.9,96.5,0.8,0.0588235294117647,0.8971848225214198,0.00734394124847,905000.0,0.950583093179635,1385316.0270880363,2863156.2766570607,8255285.826155052,129,True,3.950338600451467,7598385.4692230085,11898419.864559818,15920908.379013311,49,True,2.999755507271832
David Long Jr.,Colts,Average outside CB,True,2021,60.8,62.2,79.7,1.0,0.0634920634920634,0.6304023845007451,0.2861400894187779,315000.0,0.9460407635044612,1387713.111063358,2849474.7796754367,8255285.826155052,126,True,3.921343677449933,7555501.430684379,11811087.156479198,15764275.472422367,48,True,2.9753029139454714
Avonte Maddox,Lions,Average outside CB,False,2024,61.9,62.9,75.9,0.6,0.1034482758620689,0.0055710306406685,0.7465181058495822,1422500.0,0.9530286807976882,1392507.2790140018,2870522.386562637,8402701.644479249,132,True,3.921343677449933,7339126.806191738,11811087.156479198,16255867.530678323,52,True,2.9683149966522446
Nahshon Wright,Bears,Average outside CB,True,2025,65.9,64.8,98.0,1.2,0.1290322580645161,0.8954081632653061,0.0306122448979591,1100000.0,1.094452054794521,1443722.616103157,3296489.589041097,9658259.224872459,119,True,3.8923487544483986,7646353.97260274,11723754.448398577,17129243.82466512,51,True,2.7978966996538777
Zyon McCollum,Buccaneers,Average outside CB,False,2025,63.9,61.9,94.1,1.0,0.1,0.8459530026109661,0.0718015665796344,995433.0,0.9798031642282664,1381940.1484694076,2951167.1306555383,9407798.751328375,128,True,3.8923487544483986,7426849.315068493,11723754.448398577,16997742.663656887,53,True,2.912545590220132
Jack Jones,Dolphins,Average outside CB,False,2025,60.2,54.7,112.7,0.7,0.037037037037037,0.8969387755102041,0.0173469387755102,1100000.0,0.8963496476115896,1336111.6769394258,2699805.138606108,8255285.826155052,125,True,3.8923487544483986,7512617.392145751,11723754.448398577,15458051.38036597,47,True,2.995999106836809
Sam Webb,Titans,Replacement-level CB,True,2022,59.1,57.0,93.9,1.5,0.0476190476190476,0.7125382262996942,0.1681957186544342,234000.0,0.7117437722419928,1354592.749279539,2143772.2419928825,7474544.190201729,101,True,3.7366548042704624,7447332.0288184425,11254804.270462632,19646446.41120283,35,True,3.0249110320284696
Cornell Armstrong,Dolphins,Replacement-level CB,True,2022,57.2,54.0,97.5,1.6,0.0869565217391304,0.8252688172043011,0.0725806451612903,396000.0,0.6987342465753424,1310196.772034388,2104587.550684931,7181679.342970247,111,True,3.728155123356844,7460938.109510086,11229203.231550815,17918196.626864757,36,True,3.0294208767815016
Artie Burns,Dolphins,Replacement-level CB,True,2018,58.6,57.4,149.0,1.5,0.0384615384615384,0.8766233766233766,0.0389610389610389,1355000.0,0.6949150684931507,1319928.5677387668,2093084.18630137,7433725.948126801,104,True,3.728155123356844,7560648.548971837,11229203.231550815,18878939.82808023,34,True,3.0332400548636933
Darius Slay,Steelers,Replacement-level CB,False,2025,58.3,58.6,126.7,1.3,0.075,0.8473895582329317,0.0481927710843373,10000000.0,0.691095890410959,1310196.772034388,2081580.8219178086,7181679.342970247,107,True,3.719655442443226,7447332.0288184425,11203602.192638997,18339541.54727794,35,True,3.028559552032267
Kaiir Elam,Titans,Replacement-level CB,False,2025,56.8,56.3,114.1,1.3,0.02,0.8861940298507462,0.0205223880597014,1100000.0,0.6850578291814947,1310196.772034388,2063394.181494662,6037133.57429303,115,True,3.719655442443226,7447332.0288184425,11203602.192638997,17191476.51119407,35,True,3.0345976132617314
Ahkello Witherspoon,Rams,Playmaking outside CB,True,2024,65.6,62.6,99.4,1.2,0.1346153846153846,0.9096989966555185,0.0016722408026755,1255000.0,1.0090817356205852,1683131.776523702,3039354.1876892024,9922857.223476298,129,True,3.719447396386822,5811101.628762609,11202975.557917109,19048030.49855908,59,True,2.7103656607662368
Troy Pride Jr.,Colts,Average outside CB,True,2020,39.3,41.7,127.3,1.3,0.0277777777777777,0.8185255198487713,0.0661625708884688,234000.0,1.025296511383836,1392507.2790140018,3088193.092288114,9407798.751328375,204,False,3.717813167259787,7035334.819445526,11198053.25978648,16785270.880361173,86,False,2.6925166558759512
Daryl Worley,Commanders,Average outside CB,False,2020,44.8,42.2,153.9,1.2,0.1111111111111111,0.6098265895953757,0.0924855491329479,315000.0,0.5308728648126593,1357430.7671015938,1598989.0688157298,3373255.358829358,18,True,3.717813167259787,7035334.819445526,11198053.25978648,16785270.880361173,86,False,3.1869403024471277
Kendall Fuller,Lions,Average outside CB,True,2024,66.2,62.4,92.8,1.0,0.1162790697674418,0.8920863309352518,0.0107913669064748,315000.0,1.0516014877789586,1402184.5869074492,3167423.6811902234,9472715.993623806,119,True,3.6881685171403773,7536601.643835617,11108763.573626816,17194994.405169237,50,True,2.6365670293614185
Cobie Durant,Rams,Playmaking outside CB,False,2025,65.5,65.1,79.2,1.1,0.1304347826086956,0.9096446700507614,0.0365482233502538,1041084.0,0.9960392737614084,1679606.1921304155,3000070.292569362,9682627.164530074,128,True,3.67823944599783,5798922.572306377,11078857.211345464,19168587.53458213,58,True,2.6822001722364215
Reddy Steward,Vikings,Slot specialist,True,2025,51.1,58.6,99.5,1.4,0.0576923076923076,0.0154142581888246,0.7398843930635838,840000.0,0.5182384341637011,1211599.4236311237,1560934.1637010677,2766786.7435158505,57,True,3.671203438395416,7434155.235738359,11057664.756446995,12245695.735139063,11,True,3.152965004231715
Darren Hall,Cardinals,Average outside CB,True,2022,65.5,60.1,139.7,1.1,0.081081081081081,0.8499210110584519,0.0347551342812006,315000.0,1.094452054794521,1468392.0854794518,3296489.589041097,9602550.478214666,121,True,3.659173594138843,7339126.806191738,11021430.865546197,17063493.244161002,52,True,2.564721539344322
